iter	Passed	Remaining
529	668	592
530	674	595
531	677	596
532	679	594
533	680	593
534	681	592
535	682	590
536	683	589
537	686	589
538	693	592
539	694	591
540	695	589
541	697	589
542	698	587
543	699	586
544	703	587
545	708	589
546	709	587
547	711	587
548	713	585
549	714	584
550	718	585
551	723	586
552	726	587
553	728	586
554	735	590
555	738	589
556	739	587
557	740	586
558	742	585
559	743	584
560	744	582
561	747	582
562	749	581
563	752	581
564	753	580
565	754	578
566	755	577
567	757	576
568	759	575
569	765	577
570	766	576
571	767	574
572	769	573
573	770	571
574	772	570
575	773	569
576	775	568
577	776	566
578	779	567
579	781	565
580	782	564
581	783	562
582	784	560
583	785	559
584	786	557
585	787	556
586	788	554
587	790	553
588	795	555
589	797	554
590	798	552
591	799	551
592	801	550
593	802	548
594	803	547
595	804	545
596	805	544
597	808	543
598	811	542
599	812	541
600	813	539
601	814	538
602	815	536
603	816	535
604	817	533
605	818	532
606	819	530
607	820	528
608	825	529
609	826	528
610	828	527
611	829	526
612	830	524
613	832	523
614	833	521
615	834	519
616	835	518
617	836	517
618	839	516
619	840	515
620	842	514
621	843	512
622	844	510
623	845	509
624	846	507
625	848	506
626	849	505
627	850	503
628	851	502
629	854	502
630	856	500
631	857	499
632	858	497
633	859	496
634	860	494
635	861	492
636	862	491
637	863	489
638	864	488
639	865	486
640	868	486
641	871	485
642	872	484
643	874	483
644	875	481
645	876	480
646	877	478
647	879	477
648	885	478
649	887	478
650	888	476
651	889	474
652	892	474
653	893	472
654	894	471
655	895	469
656	897	468
657	899	467
658	900	465
659	901	464
660	902	462
661	903	461
662	904	459
663	905	458
664	906	456
665	907	455
666	908	453
667	909	451
668	910	450
669	911	449
670	914	448
671	916	447
672	917	445
673	918	444
674	919	442
675	920	441
676	921	439
677	923	438
678	923	436
679	925	435
680	926	434
681	928	433
682	930	431
683	931	430
684	932	428
685	933	427
686	934	425
687	935	424
688	936	422
689	937	421
690	938	419
691	939	418
692	940	416
693	944	416
694	946	415
695	947	414
696	949	412
697	950	411
698	951	409
699	952	408
700	956	408
701	958	406
702	961	406
703	964	405
704	966	404
705	968	403
706	970	402
707	971	400
708	973	399
709	974	398
710	976	396
711	978	395
712	979	394
713	980	392
714	981	391
715	981	389
716	982	387
717	983	386
718	984	384
719	984	383
720	985	381
721	986	379
722	986	378
723	987	376
724	987	374
725	988	373
726	989	371
727	989	369
728	990	368
729	991	366
730	992	365
731	993	363
732	993	361
733	994	360
734	994	358
735	995	357
736	996	355
737	996	353
738	997	352
739	998	350
740	998	349
741	999	347
742	1000	346
743	1001	344
744	1001	342
745	1002	341
746	1003	339
747	1003	338
748	1004	336
749	1006	335
750	1006	333
751	1007	332
752	1008	330
753	1008	329
754	1009	327
755	1009	325
756	1010	324
757	1010	322
758	1011	321
759	1011	319
760	1012	317
761	1013	316
762	1013	314
763	1014	313
764	1014	311
765	1015	310
766	1015	308
767	1016	307
768	1016	305
769	1017	303
770	1017	302
771	1018	300
772	1019	299
773	1020	297
774	1020	296
775	1021	294
776	1022	293
777	1022	291
778	1023	290
779	1024	288
780	1024	287
781	1025	285
782	1025	284
783	1026	282
784	1026	281
785	1027	279
786	1027	278
787	1028	276
788	1029	275
789	1029	273
790	1030	272
791	1030	270
792	1031	269
793	1031	267
794	1032	266
795	1033	264
796	1033	263
797	1034	261
798	1034	260
799	1035	258
800	1036	257
801	1037	256
802	1037	254
803	1038	253
804	1039	251
805	1039	250
806	1040	248
807	1040	247
808	1041	245
809	1041	244
810	1042	242
811	1043	241
812	1043	240
813	1044	238
814	1044	237
815	1045	235
816	1045	234
817	1046	232
818	1046	231
819	1047	229
820	1048	228
821	1048	227
822	1049	225
823	1049	224
824	1050	222
825	1051	221
826	1052	220
827	1052	218
828	1053	217
829	1054	215
830	1054	214
831	1055	213
832	1055	211
833	1056	210
834	1057	208
835	1057	207
836	1058	206
837	1058	204
838	1059	203
839	1059	201
840	1060	200
841	1061	199
842	1061	197
843	1062	196
844	1062	194
845	1063	193
846	1063	192
847	1064	190
848	1065	189
849	1065	188
850	1066	186
851	1067	185
852	1067	184
853	1068	182
854	1069	181
855	1069	179
856	1070	178
857	1070	177
858	1071	175
859	1072	174
860	1072	173
861	1073	171
862	1073	170
863	1074	169
